INST,OUTPUT
Le joueur doit associer le nom des animaux à leur image correspondante (MD) en résolvant des énigmes basées sur les caractéristiques des animaux (MS).,"MC1 : Le joueur se retrouve dans une forêt mystérieuse où des animaux étranges se cachent parmi les arbres. Chaque animal possède des caractéristiques uniques et le joueur doit les observer attentivement pour associer le bon nom à l'image correspondante. En résolvant ces énigmes, le joueur pourra progresser dans la forêt et découvrir des trésors cachés.
MC2 : Sur une île déserte, le joueur rencontre une tribu d'animaux parlants qui lui demandent de les aider à retrouver leur famille. Pour cela, le joueur doit identifier chaque animal en fonction de ses caractéristiques physiques et comportementales. En associant correctement les noms aux images, le joueur pourra réunir les familles et gagner la confiance des habitants de l'île.
MC3 : Dans un zoo magique, les animaux se sont échappés de leurs enclos et errent en liberté. Le joueur doit les ramener à leur place en associant le bon nom à chaque image d'animal. Pour corser le défi, certains animaux se ressemblent beaucoup et le joueur devra faire preuve d'observation et de logique pour les différencier. En réussissant à remettre tous les animaux à leur place, le joueur pourra sauver le zoo et être récompensé par les gardiens reconnaissants."
Le joueur doit conjuguer un verbe donné au présent (MD) en complétant des phrases avec le verbe conjugué correctement (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de portes verrouillées, chacune affichant une phrase incomplète nécessitant la conjugaison d'un verbe au présent. Pour ouvrir chaque porte et avancer dans sa quête, le joueur doit compléter correctement les phrases en conjuguant le verbe donné. Chaque réponse correcte le rapproche de son objectif, mais une erreur le ramène au point de départ, l'obligeant à recommencer.
MC2 : Une énigme se présente au joueur sous la forme d'un parchemin ancien, sur lequel sont inscrites des phrases mystérieuses à compléter. Pour déchiffrer le message et progresser dans son aventure, le joueur doit conjuguer les verbes donnés au présent. Chaque phrase correctement complétée le rapproche de la résolution de l'énigme, mais une conjugaison erronée le fait reculer dans sa quête.
MC3 : Le joueur se trouve face à un mur magique qui ne s'ouvrira que s'il parvient à conjuguer correctement un verbe au présent. Pour débloquer le passage et continuer son chemin, il doit résoudre cette énigme linguistique en conjuguant le verbe donné de manière adéquate. Chaque conjugaison juste le rapproche de la sortie, mais une erreur le maintient prisonnier du mur magique, l'empêchant de progresser."
Le joueur doit résoudre des additions de niveau CE1 pour avancer dans le jeu.,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant une addition à résoudre pour pouvoir les ouvrir. En utilisant ses compétences en calcul mental de niveau CE1, le joueur doit trouver la bonne réponse pour progresser dans sa quête. Chaque porte franchie lui permettra d'accéder à de nouveaux défis et récompenses.
MC2 : Sur son chemin, le joueur rencontre un groupe d'ennemis qui le défient à des épreuves mathématiques. Pour les vaincre et continuer son périple, le joueur doit résoudre des additions de niveau CE1 le plus rapidement possible. Chaque réponse correcte affaiblit ses adversaires, tandis que les erreurs renforcent leur puissance. Seul un calcul précis lui permettra de sortir victorieux de ce combat.
MC3 : Le joueur arrive devant un coffre mystérieux, protégé par un sortilège mathématique. Pour l'ouvrir et découvrir son contenu, le joueur doit résoudre une série d'additions de niveau CE1. Chaque bonne réponse rapproche le joueur de son objectif, mais une erreur pourrait déclencher un piège redoutable. En faisant preuve de concentration et de rapidité, le joueur pourra obtenir des récompenses précieuses cachées à l'intérieur du coffre."
Le joueur doit identifier et prononcer correctement les consonnes difficiles dans un mot donné (MD) et surmonter un défi en reconnaissant et en prononçant correctement les consonnes difficiles dans une série de mots (MS).,"MC1 : Le joueur se retrouve face à une série de mots écrits dans une langue étrangère, contenant des consonnes difficiles à prononcer. Pour progresser, il doit identifier et prononcer correctement ces consonnes, en se concentrant sur les nuances de chaque son. S'il réussit, il gagne des points et peut avancer dans sa quête. En revanche, s'il se trompe, il risque de rencontrer des obstacles supplémentaires sur son chemin.
MC2 : Le joueur est confronté à un puzzle composé de mots contenant des consonnes difficiles à distinguer. Pour résoudre ce puzzle et débloquer la prochaine étape de son aventure, il doit reconnaître et prononcer correctement chaque consonne, en faisant preuve d'attention et de précision. Chaque mot résolu le rapproche un peu plus de son objectif, mais la moindre erreur pourrait le faire régresser dans sa progression.
MC3 : Une énigme complexe se présente au joueur, avec des mots codés renfermant des consonnes difficiles à déchiffrer. Pour percer ce mystère et avancer dans sa quête, le joueur doit être capable d'identifier et de prononcer correctement ces consonnes, en utilisant ses connaissances linguistiques. Chaque mot décodé le rapproche un peu plus de la solution finale, mais une mauvaise prononciation pourrait le conduire à une impasse, l'obligeant à revoir sa stratégie."
Le joueur doit reconnaître et nommer les lettres de l'alphabet niveau facile (MD) en complétant un puzzle où chaque pièce représente une lettre de l'alphabet (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de pièces de puzzle dispersées. Chaque pièce représente une lettre de l'alphabet, mais certaines lettres sont manquantes. Pour avancer, le joueur doit reconnaître et nommer correctement chaque lettre manquante afin de compléter le puzzle. Chaque fois qu'il réussit, une nouvelle partie du puzzle se forme, le rapprochant un peu plus de la sortie. En cas d'erreur, le puzzle reste incomplet et le joueur doit trouver la bonne réponse pour continuer.
MC2 : Le joueur se trouve face à un coffre verrouillé, orné de lettres de l'alphabet. Pour ouvrir le coffre et découvrir ce qu'il renferme, le joueur doit identifier les lettres manquantes dans une série de mots incomplets. En utilisant ses connaissances de l'alphabet, il doit compléter les mots correctement pour déverrouiller le coffre. Chaque mot résolu le rapproche un peu plus de la récompense cachée à l'intérieur, mais une erreur pourrait le faire reculer dans sa quête.
MC3 : Le joueur est confronté à un labyrinthe complexe où chaque intersection est marquée d'une lettre de l'alphabet. Pour trouver le chemin qui mène à la sortie, le joueur doit suivre l'ordre alphabétique en choisissant le bon chemin à chaque intersection. En reconnaissant et nommant correctement les lettres, le joueur pourra progresser à travers le labyrinthe et atteindre la sortie. Cependant, une erreur le conduirait dans une impasse, l'obligeant à revenir en arrière et à reprendre sa recherche du bon chemin."
Le joueur doit associer chaque objet à sa couleur correspondante en un temps limité (MD) en résolvant des énigmes basées sur les couleurs pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve dans une pièce remplie d'objets de différentes couleurs. Pour progresser, il doit associer chaque objet à sa couleur correspondante en un temps limité. Des énigmes basées sur les couleurs lui sont présentées, et il doit les résoudre rapidement pour débloquer de nouvelles zones et avancer dans le jeu. S'il réussit, il gagne des récompenses et peut continuer son exploration. En cas d'échec, il risque de rester bloqué et de devoir recommencer.
MC2 : Le joueur se trouve face à un mur composé de blocs de différentes couleurs. Pour le traverser, il doit résoudre des énigmes basées sur les couleurs en associant chaque bloc à sa couleur correspondante. Chaque bonne réponse le rapproche un peu plus de la sortie, tandis que chaque erreur le fait reculer. Le temps est compté, et il doit faire preuve de rapidité et de précision pour progresser dans le jeu.
MC3 : Le joueur est confronté à un puzzle complexe où des formes de différentes couleurs doivent être placées dans les bonnes cases pour déverrouiller un passage secret. En utilisant ses connaissances des couleurs et en résolvant les énigmes qui lui sont présentées, il peut avancer dans le jeu et découvrir de nouveaux défis. Chaque étape franchie lui permet de collecter des indices supplémentaires pour résoudre le puzzle final et atteindre son objectif."
Le joueur doit apprendre les chiffres de 0 à 10 en associant chaque chiffre à son équivalent numérique et en les plaçant dans l'ordre croissant (MD) en résolvant des énigmes mathématiques qui nécessitent l'utilisation des chiffres de 0 à 10 (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de coffres verrouillés, chacun affichant un chiffre de 0 à 10. Pour ouvrir ces coffres et découvrir les trésors cachés à l'intérieur, le joueur doit résoudre des énigmes mathématiques impliquant l'utilisation des chiffres de 0 à 10. Par exemple, il pourrait être confronté à un calcul tel que 5 + 3, et devra associer le résultat (8) au coffre portant le chiffre 8 pour le déverrouiller.

MC2 : Le joueur se trouve face à un labyrinthe complexe, où chaque intersection est marquée d'un chiffre de 0 à 10. Pour trouver la sortie et s'échapper du labyrinthe, le joueur doit résoudre des énigmes mathématiques basées sur les chiffres présents sur les intersections. Par exemple, il pourrait être confronté à un calcul tel que 2 x 4, et devra choisir le bon chemin correspondant au résultat (8) pour avancer.

MC3 : Le joueur est confronté à une série de portes verrouillées, chacune affichant un chiffre de 0 à 10. Pour ouvrir ces portes et progresser dans son aventure, le joueur doit résoudre des énigmes mathématiques impliquant l'utilisation des chiffres de 0 à 10. Par exemple, il pourrait être confronté à un calcul tel que 9 - 5, et devra associer le résultat (4) à la porte portant le chiffre 4 pour la déverrouiller."
Le joueur doit identifier les parties du corps humain (MD) en associant chaque partie à son nom en anglais (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de statues représentant différentes parties du corps humain, mais chaque statue est étiquetée avec son nom en anglais. Pour avancer, le joueur doit associer correctement chaque partie du corps à son nom en anglais. S'il réussit, il débloque un passage secret qui le mène à la prochaine étape de son aventure. En cas d'erreur, des pièges se déclenchent et le joueur doit recommencer.

MC2 : Le joueur se trouve face à un puzzle anatomique complexe, où chaque pièce représente une partie du corps humain. Pour résoudre ce puzzle et progresser, le joueur doit nommer chaque partie en anglais et les placer correctement. Chaque bonne réponse rapproche le joueur de la résolution du puzzle, tandis que chaque erreur complique davantage la tâche en ajoutant des pièces supplémentaires.

MC3 : Le joueur est confronté à un médecin énigmatique qui lui pose des questions sur les parties du corps humain en anglais. Pour obtenir des indices cruciaux pour la suite de son aventure, le joueur doit répondre correctement à ces questions. Chaque bonne réponse le rapproche de la vérité, mais chaque erreur le ralentit et le met en danger face aux épreuves à venir."
Le joueur doit se rappeler des tables d'addition (MD) et résoudre un problème qui nécessite d'additionner deux nombres pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve face à un coffre mystérieux, verrouillé par un code numérique. Pour ouvrir ce coffre et découvrir son contenu précieux, le joueur doit résoudre une énigme mathématique. En l'occurrence, il doit additionner deux nombres donnés pour trouver le bon code. S'il parvient à résoudre correctement l'addition, le coffre s'ouvrira et il pourra récupérer sa récompense. En revanche, en cas d'erreur, le coffre restera fermé et le joueur devra chercher une autre solution pour avancer dans le jeu.

MC2 : Le joueur se retrouve face à un pont effondré, bloquant son chemin vers la suite de l'aventure. Pour reconstruire le pont et poursuivre son périple, le joueur doit résoudre un problème d'addition. En additionnant deux nombres clés, il pourra activer un mécanisme magique qui réparera le pont et lui permettra de continuer son voyage. Cependant, s'il se trompe dans son calcul, le pont restera en ruines et le joueur devra trouver une autre manière de progresser.

MC3 : Le joueur se trouve devant un mur de cristal infranchissable, orné de symboles mystérieux. Pour briser ce mur et accéder à la prochaine étape du jeu, le joueur doit résoudre une série d'additions complexes. En combinant les chiffres présents sur les symboles, il devra trouver la bonne somme pour détruire le mur et avancer. Chaque addition réussie le rapprochera un peu plus de son objectif, mais une erreur le ramènera au point de départ, l'obligeant à recommencer jusqu'à ce qu'il trouve la bonne solution."
Le joueur doit se rappeler des tables de multiplication et résoudre un défi en donnant le résultat de la multiplication d'un nombre par un chiffre spécifique.,"MC1 : Le joueur se retrouve face à un coffre verrouillé, affichant un nombre mystérieux tel que 9. Pour ouvrir ce coffre et obtenir des récompenses précieuses, le joueur doit faire appel à ses connaissances en tables de multiplication. En l'occurrence, il doit calculer rapidement le produit de 9 par le chiffre spécifique demandé. Une réponse correcte lui permettra d'ouvrir le coffre et de progresser dans sa quête, tandis qu'une erreur le laissera sans les trésors cachés à l'intérieur.
MC2 : Le joueur se trouve devant un énigme complexe, composée de plusieurs symboles et chiffres. Pour résoudre cette énigme et débloquer le passage vers la prochaine étape, le joueur doit utiliser ses compétences en multiplication. En identifiant le chiffre spécifique demandé et en calculant le produit avec le nombre affiché, le joueur pourra déchiffrer l'énigme et avancer dans son aventure. Une erreur le laisserait dans l'impasse, incapable de progresser tant qu'il n'aura pas trouvé la bonne réponse.
MC3 : Le joueur se retrouve confronté à un mur magique, sur lequel est inscrit un nombre énigmatique comme 6. Pour désactiver ce mur et continuer son chemin, le joueur doit faire preuve de rapidité et de précision dans ses calculs. En utilisant sa connaissance des tables de multiplication, il doit trouver le résultat de la multiplication du chiffre spécifique demandé par 6. Une réponse correcte lui permettra de faire disparaître le mur et de poursuivre son aventure, tandis qu'une erreur le maintiendrait prisonnier, incapable de progresser tant qu'il n'aura pas résolu ce défi mathématique."
Le joueur doit associer chaque animal à son cri correspondant (MD) en complétant un puzzle où chaque pièce représente un animal et son cri (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où les animaux parlent et demandent de l'aide. Chaque animal est représenté par une pièce de puzzle, et le joueur doit associer chaque animal à son cri en reconstituant le puzzle. S'il parvient à compléter le puzzle correctement, les animaux le remercieront en lui ouvrant un passage secret vers de précieux trésors cachés. En revanche, s'il se trompe dans ses associations, les animaux se fâcheront et le joueur devra recommencer depuis le début.
MC2 : Le joueur se trouve dans un zoo magique où les animaux ont perdu leur voix et ne peuvent plus communiquer. Pour les aider à retrouver leur cri, le joueur doit résoudre un puzzle composé de pièces représentant chaque animal et son cri correspondant. En associant correctement chaque animal à son cri, le joueur débloquera des indices pour avancer dans sa quête et découvrir le mystère qui entoure ce zoo particulier. En cas d'erreur, les animaux resteront muets et le joueur devra trouver une autre solution pour progresser.
MC3 : Le joueur se retrouve dans un monde fantastique où les animaux sont les gardiens des connaissances anciennes. Pour obtenir leur aide, le joueur doit résoudre un puzzle magique où chaque pièce représente un animal et son cri. En associant correctement chaque animal à son cri, le joueur débloquera des pouvoirs spéciaux qui l'aideront à surmonter les obstacles sur son chemin. En revanche, s'il se trompe dans ses associations, les animaux se détourneront de lui et le joueur devra trouver un autre moyen de progresser dans sa quête."
Le joueur doit écrire le nom des couleurs (MD) en surmontant un défi qui consiste à associer chaque couleur à sa traduction dans une langue étrangère (MS).,"MC1 : Le joueur se retrouve dans un labyrinthe coloré où chaque chemin est marqué par une couleur différente. Pour avancer, il doit associer chaque couleur à sa traduction dans une langue étrangère. Par exemple, le rouge pourrait correspondre à ""red"" en anglais. En cas de bonne réponse, le joueur pourra suivre le bon chemin et progresser dans le labyrinthe. En revanche, s'il se trompe, il risque de se retrouver face à des obstacles supplémentaires qui compliqueront sa progression.

MC2 : Le joueur se trouve devant un coffre mystérieux protégé par un sortilège. Pour ouvrir ce coffre et découvrir son contenu, il doit associer chaque couleur à sa traduction dans une langue étrangère. Chaque couleur correspond à une série de lettres qui, une fois assemblées correctement, formeront le mot magique permettant d'ouvrir le coffre. Si le joueur réussit cette épreuve, il pourra profiter des trésors cachés à l'intérieur. En cas d'erreur, le coffre restera fermé et le joueur devra trouver la bonne combinaison pour accéder à ses récompenses.

MC3 : Le joueur se retrouve face à un étrange tableau magique où des couleurs sont associées à des symboles mystérieux. Pour déchiffrer ce tableau et comprendre son message, le joueur doit associer chaque couleur à sa traduction dans une langue étrangère. En résolvant correctement ce défi, le joueur pourra débloquer des indices précieux qui l'aideront à avancer dans sa quête. En revanche, en cas d'erreur, le message restera obscur et le joueur devra redoubler d'efforts pour percer le mystère du tableau magique."
Le joueur doit associer le nom des animaux à leur image correspondante (MD) en résolvant des énigmes basées sur les caractéristiques de chaque animal (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où il doit identifier les animaux en fonction de leurs caractéristiques uniques. Par exemple, il pourrait être confronté à une énigme mettant en avant la vitesse d'un animal, et il devra associer cette caractéristique à l'image du guépard. S'il réussit à faire les bonnes associations, il pourra avancer dans la forêt et découvrir de nouveaux défis passionnants. En revanche, s'il se trompe, il risque de se perdre dans les méandres de la forêt et de devoir recommencer depuis le début.

MC2 : Le joueur se trouve dans un zoo magique où les animaux parlent et posent des énigmes pour tester ses connaissances. Par exemple, un singe pourrait lui demander de trouver l'image correspondant à l'animal le plus intelligent de la jungle. En associant cette énigme à l'image du chimpanzé, le joueur pourra progresser et débloquer de nouvelles zones du zoo. En cas d'erreur, il devra affronter des épreuves supplémentaires pour prouver sa valeur et continuer son exploration.

MC3 : Le joueur est transporté dans un monde fantastique où les animaux sont les gardiens des portes magiques. Chaque porte est associée à un animal spécifique, et le joueur doit résoudre des énigmes basées sur les caractéristiques de cet animal pour l'ouvrir. Par exemple, s'il se trouve devant la porte du lion, il devra associer l'image de cet animal à sa force et sa majesté pour progresser. En cas d'erreur, la porte restera close et le joueur devra trouver un autre moyen de la franchir, en affrontant des défis supplémentaires pour prouver sa valeur."
Le joueur doit conjuguer un verbe donné au présent (MD) et doit compléter des phrases en conjuguant les verbes au présent (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de portes verrouillées, chacune affichant une phrase incomplète avec un verbe à conjuguer au présent. Pour avancer, le joueur doit compléter correctement chaque phrase en conjuguant le verbe donné. Chaque porte ouverte le rapproche un peu plus de la sortie, mais une erreur le ramènerait au début du défi, l'obligeant à recommencer.
MC2 : Le joueur se trouve face à un mur de mots mêlés, où se cachent des verbes à conjuguer au présent. Pour progresser, le joueur doit trouver et conjuguer correctement chaque verbe dans les mots mêlés. Chaque verbe correctement conjugé lui permet de débloquer une partie du mur, révélant ainsi le chemin vers la prochaine étape du défi. En revanche, une conjugaison incorrecte le ferait reculer, l'obligeant à retrouver le bon verbe pour avancer.
MC3 : Le joueur est confronté à un puzzle de phrases incomplètes, où les verbes doivent être conjugués au présent pour former des instructions cohérentes. En résolvant chaque phrase, le joueur déverrouille des indices qui l'aideront à résoudre un mystère final. Chaque verbe correctement conjugué le rapproche un peu plus de la résolution du puzzle, mais une erreur le ferait perdre du temps précieux, le mettant en danger de ne pas réussir à temps."
Le joueur doit résoudre des additions de niveau CE1 pour avancer dans le jeu.,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant une addition à résoudre pour pouvoir les ouvrir. En utilisant ses compétences en calcul mental de niveau CE1, le joueur doit trouver la bonne réponse pour progresser dans sa quête. Chaque porte franchie lui permettra d'accéder à de nouveaux défis et récompenses.
MC2 : Sur son chemin, le joueur rencontre un groupe d'ennemis qui bloquent son passage. Pour les vaincre et continuer son aventure, il doit résoudre des additions de niveau CE1 en un temps limité. Chaque réponse correcte lui permettra d'attaquer ses adversaires, tandis qu'une erreur le rendra vulnérable aux attaques ennemies.
MC3 : Le joueur arrive devant un coffre mystérieux qui renferme un trésor précieux. Cependant, pour l'ouvrir, il doit d'abord résoudre une série d'additions de niveau CE1. Chaque calcul correct lui rapproche un peu plus de la récompense tant convoitée, mais une erreur pourrait sceller le coffre à jamais. Le joueur doit donc faire preuve de concentration et de rapidité pour débloquer le trésor."
Le joueur doit identifier et nommer les consonnes difficiles dans un mot donné (MD) en complétant des exercices de reconnaissance de consonnes difficiles (MS).,"MC1 : Le joueur se retrouve face à un puzzle composé de lettres, parmi lesquelles se cachent des consonnes difficiles à identifier. Pour avancer dans le jeu, il doit réussir à repérer et nommer correctement ces consonnes spécifiques. Chaque fois qu'il réussit, une partie du puzzle se débloque, lui permettant de progresser. En cas d'erreur, le puzzle reste incomplet et le joueur doit recommencer jusqu'à ce qu'il identifie toutes les consonnes difficiles.

MC2 : Le joueur est confronté à une série de mots écrits dans une langue étrangère, contenant des consonnes difficiles à distinguer. Pour résoudre cette énigme linguistique, il doit compléter des exercices de reconnaissance de ces consonnes particulières. Chaque fois qu'il réussit à identifier correctement une consonne difficile, il débloque un indice qui l'aidera à décoder le sens des mots. En cas d'erreur, l'indice reste inaccessible et le joueur doit persévérer pour progresser.

MC3 : Le joueur se trouve devant un coffre-fort verrouillé, dont le code d'accès est basé sur la reconnaissance des consonnes difficiles dans un mot mystère. Pour ouvrir le coffre et découvrir son contenu, le joueur doit réussir à identifier et nommer correctement ces consonnes spécifiques. Chaque fois qu'il trouve la bonne réponse, une partie du code est dévoilée, le rapprochant un peu plus de la solution. En cas d'erreur, le coffre reste fermé et le joueur doit continuer à chercher les consonnes difficiles pour débloquer le code."
Le joueur doit reconnaître et nommer les lettres de l'alphabet niveau facile (MD) en complétant un puzzle où les lettres sont mélangées (MS).,"MC1 : Le joueur se retrouve face à un puzzle complexe où les lettres de l'alphabet sont mélangées. Pour avancer dans le jeu, il doit reconnaître et nommer chaque lettre correctement. Chaque fois qu'il réussit à replacer une lettre au bon endroit, une partie du puzzle se dévoile, le rapprochant un peu plus de la victoire. En cas d'erreur, le puzzle reste incomplet et le joueur doit recommencer jusqu'à ce qu'il parvienne à résoudre l'ensemble des lettres.
MC2 : Le joueur se trouve devant une énigme cryptique composée de lettres de l'alphabet mélangées. Pour déchiffrer le message caché et progresser dans sa quête, il doit identifier chaque lettre et les replacer dans l'ordre correct. Chaque fois qu'il réussit à reconstituer un mot ou une phrase, de nouvelles informations lui sont révélées, l'aidant à avancer dans l'aventure. En cas d'erreur, le message reste incompréhensible et le joueur doit persévérer jusqu'à ce qu'il trouve la solution.
MC3 : Le joueur se retrouve dans une salle remplie de portes verrouillées, chacune affichant une lettre de l'alphabet. Pour ouvrir ces portes et découvrir ce qui se cache derrière, il doit reconnaître et nommer correctement chaque lettre. En réussissant à déverrouiller une porte, le joueur accède à de nouveaux défis et énigmes à résoudre. En revanche, s'il se trompe dans l'identification d'une lettre, la porte reste close et il doit trouver la bonne réponse pour avancer dans sa quête."
Le joueur doit associer chaque objet à sa couleur correspondante en surmontant des défis de tri et de classification (MD) pour progresser dans le jeu et apprendre les couleurs de manière ludique (MS).,"MC1 : Le joueur se retrouve dans une pièce remplie d'objets de différentes couleurs mélangés. Pour avancer, il doit trier les objets en les associant à leur couleur correspondante. Par exemple, il devra placer les pommes rouges dans le panier rouge, les bananes jaunes dans le panier jaune, etc. Chaque bonne association lui permettra de déverrouiller une nouvelle étape du jeu, tandis que les erreurs le ralentiront dans sa progression.
MC2 : Le joueur se trouve devant un puzzle géant composé de pièces de différentes couleurs. Pour résoudre ce puzzle et avancer dans le jeu, il doit classifier les pièces en fonction de leur couleur et les assembler correctement. En associant chaque pièce à sa couleur correspondante, le joueur pourra reconstituer l'image cachée et débloquer de nouveaux défis passionnants.
MC3 : Le joueur est confronté à une série de portes verrouillées, chacune étant associée à une couleur spécifique. Pour ouvrir ces portes et découvrir ce qui se cache derrière, le joueur doit identifier la couleur de chaque objet présent dans la pièce et les associer à la porte correspondante. En faisant preuve de logique et de rapidité, il pourra progresser dans le jeu et apprendre les couleurs de manière interactive."
Le joueur doit apprendre les chiffres de 0 à 10 en associant chaque chiffre à son équivalent numérique (MD) et en complétant une série de puzzles numériques pour vérifier sa compréhension (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de coffres verrouillés, chacun affichant un chiffre de 0 à 10 en lettres. Pour ouvrir les coffres et découvrir les trésors cachés à l'intérieur, le joueur doit associer chaque chiffre à son équivalent numérique. En résolvant correctement cette énigme, il pourra récupérer des indices précieux pour avancer dans sa quête. En revanche, s'il se trompe, il risque de déclencher des pièges redoutables qui mettront en péril sa progression.

MC2 : Le joueur se trouve face à un mur de cristal incrusté de chiffres de 0 à 10, mais certains d'entre eux sont manquants. Pour briser le mur et accéder à la salle suivante, le joueur doit compléter la série de chiffres manquants en associant chaque chiffre à son équivalent numérique. En résolvant ce puzzle numérique, il pourra déverrouiller le passage et continuer son aventure. Cependant, s'il commet des erreurs dans ses choix, le mur se renforcera et deviendra infranchissable, le forçant à recommencer jusqu'à ce qu'il trouve la bonne combinaison.

MC3 : Le joueur se retrouve dans un labyrinthe complexe, où chaque intersection est marquée d'un chiffre de 0 à 10. Pour trouver la sortie et échapper aux dangers qui rôdent dans les couloirs sombres, le joueur doit suivre un chemin précis en associant chaque chiffre à son équivalent numérique. En résolvant ces énigmes numériques, il pourra éviter les pièges et les monstres qui se dressent sur son chemin. Cependant, s'il se trompe dans ses choix, il risque de se perdre davantage dans le labyrinthe et de mettre sa vie en danger."
Le joueur doit identifier les parties du corps humain (MD) en associant chaque partie à son nom en anglais (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de statues représentant différentes parties du corps humain, mais chaque statue est étiquetée avec son nom en anglais. Pour progresser, le joueur doit associer correctement chaque partie du corps à son nom en anglais. S'il réussit, il débloquera un passage secret qui le mènera vers de nouveaux défis passionnants. En revanche, s'il se trompe, il devra affronter des énigmes supplémentaires avant de pouvoir avancer.

MC2 : Le joueur se trouve face à un puzzle complexe composé de différentes parties du corps humain, mais chaque pièce est marquée d'un mot en anglais. Pour résoudre ce puzzle et avancer dans le jeu, le joueur doit relier chaque partie du corps à son nom en anglais. Une fois le puzzle complété correctement, une porte secrète s'ouvrira, révélant un trésor caché ou un indice crucial pour la suite de l'aventure. En cas d'erreur, le puzzle se réinitialisera et le joueur devra recommencer.

MC3 : Le joueur est confronté à un médecin farfelu qui lui demande de l'aider à identifier les parties du corps humain en anglais pour soigner ses patients. Pour chaque patient, le joueur doit associer la partie du corps à son nom en anglais afin que le médecin puisse administrer le bon traitement. Si le joueur réussit à aider tous les patients, il recevra une récompense spéciale qui lui sera utile dans sa quête. En cas d'erreur, les patients pourraient souffrir de complications et le joueur devra trouver une autre solution pour les aider."
Le joueur doit se rappeler des tables d'addition (MD) et résoudre des énigmes mathématiques qui nécessitent l'addition de deux nombres pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant une énigme mathématique à résoudre. Pour ouvrir ces portes et progresser dans le jeu, le joueur doit se rappeler des tables d'addition et calculer rapidement la somme des deux nombres mystérieux. Chaque bonne réponse le rapproche un peu plus de la sortie, tandis que chaque erreur le fait reculer dans sa quête.
MC2 : Au cœur d'un labyrinthe complexe, le joueur découvre des pierres précieuses dispersées sur le sol. Pour les collecter et avancer vers la sortie, il doit résoudre des énigmes mathématiques basées sur l'addition de deux nombres. En utilisant ses connaissances des tables d'addition, le joueur peut accumuler des trésors et débloquer de nouveaux passages. Cependant, toute erreur le fait perdre du temps et le rapproche des dangers cachés du labyrinthe.
MC3 : Sur le chemin escarpé d'une montagne enneigée, le joueur rencontre un gardien énigmatique qui lui pose des défis mathématiques. Pour obtenir son aide et continuer son ascension, le joueur doit résoudre des énigmes d'addition impliquant des nombres complexes. En faisant preuve de rapidité et de précision, le joueur peut gagner des indices précieux pour atteindre le sommet. Mais s'il se trompe, il risque de perdre sa chance d'atteindre le sommet et de découvrir les secrets de la montagne."
Le joueur doit se rappeler des tables de multiplication (MD) et résoudre des énigmes mathématiques basées sur les multiplications pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant un calcul de multiplication différent. Pour progresser, le joueur doit résoudre correctement chaque énigme mathématique en se rappelant des tables de multiplication. Chaque porte ouverte le rapproche un peu plus de son objectif final, mais une erreur le renverrait au début du défi, l'obligeant à recommencer depuis le début.
MC2 : Le joueur se trouve devant un coffre-fort mystérieux qui ne s'ouvrira que s'il parvient à résoudre un calcul de multiplication complexe. En utilisant ses connaissances des tables de multiplication, le joueur doit trouver la bonne réponse pour déverrouiller le coffre et accéder à des récompenses précieuses. Cependant, s'il se trompe, le coffre se verrouillera à double tour, l'empêchant d'obtenir les trésors cachés à l'intérieur.
MC3 : Le joueur est confronté à un labyrinthe rempli de chiffres et de symboles mathématiques. Pour trouver la sortie et progresser dans le jeu, le joueur doit résoudre une série de calculs de multiplication basés sur les tables de multiplication. Chaque réponse correcte le rapproche un peu plus de la sortie, mais une erreur le ramènerait au point de départ, l'obligeant à naviguer à nouveau à travers le labyrinthe pour trouver la bonne voie."
